event_id,ds_n_samples,kerr_n_samples,ds_q05_hz,ds_q50_hz,ds_q95_hz,kerr_q05_hz,kerr_q50_hz,kerr_q95_hz,ds_width_90_hz,kerr_width_90_hz,ds_iqr_hz,kerr_iqr_hz,sigma_ratio_ds_over_kerr,iqr_ratio_ds_over_kerr,ds_width_bucket,residual_q50_full_hz,p_residual_gt_0_full,residual_q50_dsband_hz,p_residual_gt_0_dsband,ds_in_kerr_band_frac,residual_q50_kerrband_hz,p_residual_gt_0_kerrband,kerr_in_ds_band_frac,cdf_ds_at_kerr_median
S170104,69012,71014,126.37569931604185,219.0709814792043,297.7304734781673,227.9661639782718,259.8585709339483,286.47418682503275,171.35477416212547,58.50802284676095,62.54345145912822,26.322483189147306,3.1497676863192563,2.3760467813657766,moderate_100_300Hz,-38.82671601702506,0.23308,-6.742617582295452,0.39828,0.31229351417144846,-38.70361868151872,0.23498,0.9945926155405976,0.7814872775749145
S170814,100948,52275,194.60230541330085,525.5017829685535,857.5099060592021,219.82962063907894,255.3566351303771,295.52371088812674,662.9076006459012,75.6940902490478,311.8942712856085,39.668268982033965,7.150208823037403,7.8625631843645,prior_dominated_gte600Hz,247.193019923147,0.72414,1.4817363320842816,0.51362,0.08146768633355787,246.99927244232543,0.72224,0.9948158775705405,0.2782026389824464
S170823,91657,61082,162.7224248318294,215.39988210798657,776.761716186766,156.88771025125047,173.33453464309255,189.99323067285235,614.0392913549366,33.10552042160188,35.11892734147651,12.923734951781029,18.196581684237444,2.717397677413428,prior_dominated_gte600Hz,40.889811024695106,0.9001,3.587560559478888,0.5905,0.16426459517549125,38.6596087214224,0.89074,0.8658852034969385,0.09177695102392616
S190408an,64930,58366,45.642637833943965,463.8797958148105,968.8873630023073,254.85106705007024,292.3708413016331,322.20136090320744,923.2447251683634,67.3502938531372,388.5863178367763,24.253363435212066,10.57233977425885,16.02195583613818,prior_dominated_gte600Hz,179.36426867771135,0.7936,4.763942778728307,0.58554,0.14455567534267671,179.49560778477198,0.79336,0.9994860021245245,0.19439396272909287
S190512at,82962,95946,180.59049472836978,214.49451825081042,732.3809461459999,32.700322061205895,313.697570850189,475.82404824829325,551.7904514176302,443.12372618708736,31.38991148921187,138.61166093623842,0.8713336806385352,0.2264593849982887,wide_300_600Hz,-80.21238371604258,0.34928,-98.67897888334858,0.28314,0.8983992671343507,-114.37513077906856,0.16508,0.744679298772226,0.8350449603432897
S190513bm,76993,74642,167.76168037107345,276.95458816882785,755.9693853704946,181.5679290947837,203.6110317122451,230.1410708638237,588.2077049994211,48.57314176904001,363.0607987989771,17.134131269177004,15.28189698923951,21.1893321636969,wide_300_600Hz,75.50842472204177,0.83714,4.362864600685697,0.59046,0.24361954982920525,75.18774098320685,0.83246,0.9871520055732698,0.14957203901653396
S190519bj,66389,72955,108.95553358149962,125.95880332971622,136.6766176837178,107.16126079242179,117.53950293427627,124.67711002674382,27.721084102218185,17.515849234322033,9.815463978006122,7.202468229893654,1.5995002932576434,1.3627917076075806,narrow_lt100Hz,8.558101533491197,0.81786,2.384187568916147,0.64626,0.38901022759794546,7.839947464700423,0.80342,0.9143170447536152,0.15260058142162106
S190521g,59966,64861,61.632659937270034,64.90112832082775,67.97073660135942,61.40199194808469,63.29327824083015,64.99016969335256,6.338076664089385,3.5881777452678634,2.5699290263030505,1.4490869726744506,1.7767531127738854,1.7734815609859231,narrow_lt100Hz,1.6213306558575944,0.76976,0.3941301986023831,0.60618,0.47842110529299936,1.4582010665176597,0.75136,0.928924931777185,0.20254811059600442
S190602aq,66773,69258,73.45079805982941,96.78541345095789,108.91402257428716,85.50879557612929,93.87458051571001,100.88919412889827,35.46322451445775,15.38039855276898,12.537159739729475,6.511627536225035,3.111815996093724,1.9253496410818367,narrow_lt100Hz,2.5243491416715784,0.59512,1.3676208881068064,0.58408,0.5262007098677609,2.4923352117153357,0.59422,0.9997978572872448,0.379809204319111
S190706ai,59749,87132,97.25475071676242,109.19066393545647,115.95081593730289,85.26896002506389,102.28687447898417,109.6602559738155,18.696065220540476,24.391295948751605,3.948727263579812,11.704702903204279,4.063113638318961,0.3373624513355917,narrow_lt100Hz,7.1502357890811155,0.8411,4.262923199676344,0.745,0.5615826206296339,3.9752892568969003,0.77866,0.6798535555249506,0.09210195986543708
S190708ap,108761,55020,50.29706795587621,768.4966663927539,920.3270011094146,319.8768922690124,376.2100366843653,544.8507199881275,870.0299331535384,224.9738277191151,529.7368504595012,60.90909078894833,2.808155703231996,8.69717218887824,prior_dominated_gte600Hz,369.1180940843973,0.73548,-9.945235576469258,0.4552,0.17681889647943655,368.27226732595784,0.73096,0.9802435478007997,0.25903586763637704
S190727h,58048,58045,74.07379142684418,352.4840659280005,937.9183684776523,138.8342356712621,156.63384260391882,172.1185072308714,863.8445770508081,33.284271559609294,494.5363069579978,14.13116558163631,27.96277301786247,34.996144097317504,prior_dominated_gte600Hz,196.35066696631463,0.87118,5.747701340032506,0.66046,0.0740077177508269,196.44717871851336,0.87048,1.0,0.12102053472987873
S190828j,78701,86080,233.78484794053261,247.6223836907697,542.0155402834339,205.1161015920235,232.79168345304288,245.80538229580753,308.2306923429013,40.68928070378402,10.40639537538425,14.851607319452825,5.338745299386428,0.7006915245970596,wide_300_600Hz,17.136506922153657,0.90876,9.101219573848681,0.81888,0.36002083836291787,8.485174803838305,0.8343,0.4572258364312268,0.04533614566523932
S190910s,61650,70135,154.5985685780802,165.30682435966338,173.85836452647564,154.437353588253,162.42043056943228,168.05807410731393,19.259795948395436,13.620720519060939,5.569575427394767,5.360509182524453,1.4724859925113167,1.0390011914449995,narrow_lt100Hz,3.105083988940038,0.6946,1.6889861054201418,0.63892,0.6960583941605839,2.736207975535905,0.67844,0.9463035574249662,0.24035685320356853
S190915ak,74068,59524,39.08520907273722,513.8233371478882,956.355585891218,176.77702919646603,202.99586741992286,222.5287244730198,917.2703768184807,45.75169527655376,502.31110433706283,19.32186528507586,21.330863017412764,25.99702963072857,prior_dominated_gte600Hz,312.4485804285301,0.66862,6.493166545016152,0.62832,0.04192093751687639,311.83663702267506,0.6687,0.9997816006988778,0.3286304476967111
S191109d,57667,71976,100.9048127969509,105.59560345425913,111.34403627278792,102.12764523419774,105.54259778764342,109.12522386193284,10.43922347583701,6.997578627735095,4.311118090813196,2.9081560560022695,1.5031895663163284,1.4824232289444343,narrow_lt100Hz,0.13097177158002893,0.51472,-0.029919285519902417,0.49614,0.7283888532436229,0.08650761538161333,0.50914,0.9848421696120929,0.49109542719406246
S191222n,102499,50832,102.02809014343639,156.4950913609474,911.285940513654,109.92211103015882,122.19270658165512,134.85855726767736,809.2578503702176,24.93644623751854,365.88028292056424,9.961980950484374,35.964083500647995,36.727663377309945,prior_dominated_gte600Hz,36.244325182751986,0.88028,3.3506201684900674,0.62698,0.1359818144567264,36.371037054982594,0.88106,0.9951802014479069,0.11180596883872038
S200129m,60969,56325,221.2358904555294,250.10635636161032,289.7171152132013,198.82332495456578,209.3384498310996,219.99962090027,68.4812247576719,21.176295945704226,22.525183898702636,8.61410222553613,3.3386605228188544,2.614919501643214,narrow_lt100Hz,40.75155230656148,0.98134,4.128944231416668,0.68018,0.040955239547967,26.45667041757467,0.93398,0.03195739014647137,0.014072725483442405
S200224ca,60755,65534,171.24409562949228,192.17344266905445,204.20440024813755,165.38803560454687,175.5561663830318,184.31951716889157,32.96030461864527,18.931481564344693,11.178593325958303,7.648536199795217,1.902845684319102,1.4615336887936283,narrow_lt100Hz,16.202310252081645,0.90444,2.8153729355998394,0.64382,0.1853180808163937,14.371332932101566,0.8866,0.7664113284707175,0.08112912517488273
S200311bg,47901,53796,75.2620388716039,322.14174977367196,947.6002745115541,190.27158561153607,207.59898584334104,233.5634992680089,872.3382356399502,43.29191365647284,397.0573368283706,19.38396220987994,19.845405833214702,20.48380679497981,prior_dominated_gte600Hz,119.73074110554668,0.84686,2.232631006024235,0.5471,0.038871839836329095,119.62597600652012,0.84656,1.0,0.15417214671927518
